ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-rating-star--rate,ipc-btn__text,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,sc-35f5f4fb-3 (2),ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5),ipc-link href (6),ipc-link (6)
"https://m.media-amazon.com/images/M/MV5BNDA0MzM5YTctZTU2My00NGQ5LWE2NTEtNDM0MjZmMDBkOTZkXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt12361974/?ref_=ls_i_1,https://www.imdb.com/title/tt12361974/?ref_=ls_t_1,1. Zack Snyder's Justice League,2021,4h 2m,R,54,Metascore,7.9,(473K),Rate,Mark as watched,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Director,https://www.imdb.com/name/nm0811583/?ref_=ls_li_1_1,Zack Snyder,Stars,https://www.imdb.com/name/nm0147147/?ref_=ls_li_2_1,Henry Cavill,https://www.imdb.com/name/nm0000255/?ref_=ls_li_2_2,Ben Affleck,https://www.imdb.com/name/nm2933757/?ref_=ls_li_2_3,Gal Gadot,"I don’t know how to put into words how awesome this is. I have been arguing with people saying the Snyder Cut is real it is out there and Zack will finish what he started. And here it is baby.- Before seeing it.

Now after fully seeing it, I only have one problem- that it is I wish it was longer. Naw I’m kidding, he does over due the slow motion and the music video aspect at times. And even some lines are a little cheesy. But other than that holy crap this is the movie that really made me go I’m watching something special here. It is amazing from start to finish because I haven’t been this amazed by anything on this scale in a long time. I also got to say these are my heroes. These fools do not mess around which I love. I have to say that these actors are acting. I know that’s what they are supposed to do but I’m serious time after time I was believing in their performances in how much weight this all is. From Cyborg to Wonder Woman to hell even Flash with that end fight. He is amazing in that finally fight. Cyborg of course is more fleshed out and we even see him in human form which makes you realize just how much he lost. He goes through an incredible arc that any person with a brain will go stupid why was this cut out. I can go on and on about what this movie accomplishes but truly it resonated with me in how emotional I got watching a movie about superheroes. It makes me so happy to see Zack finish what he started. It is beautiful.
10/10",,,,
"https://m.media-amazon.com/images/M/MV5BZGNkOWQ0ZjMtMTc4Ny00NDRhLTgyMjUtNzFmZDM0MTc3N2JjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt9770150/?ref_=ls_i_2,https://www.imdb.com/title/tt9770150/?ref_=ls_t_2,2. Nomadland,2020,1h 47m,R,87,Metascore,7.3,(218K),Rate,Mark as watched,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Director,https://www.imdb.com/name/nm2125482/?ref_=ls_li_1_1,Chloé Zhao,Stars,https://www.imdb.com/name/nm0000531/?ref_=ls_li_2_1,Frances McDormand,https://www.imdb.com/name/nm0000657/?ref_=ls_li_2_2,David Strathairn,https://www.imdb.com/name/nm9584508/?ref_=ls_li_2_3,Linda May,"I guess I do have to count this as a 2021 movie but screw it this whole award season has fucked everything up. No matter what this movie came out in it is an amazing and interesting look on how people can cope with living. Not just after tragedy but just tired of how this life has beaten us down. Not everyone does this because they don’t have anyone look at David a character who has a son who loves him and even gives a place to stay. Even tho I have to say some topics are a little half baked but even at an hour and 40 minutes I never felt this movie drag. Even tho a lot of people may call this movie boring I never did. I fell in love with movie with more and more time passes. What totally won me over is that last conversation this movie has about accepting lost and moving on without that person you love. God damn this movie hits hard.
9/10",,,,
"https://m.media-amazon.com/images/M/MV5BN2QzZTQ3MzktN2JiYS00MDEzLTgxMWQtZWFmMDI3NWFkZTY0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt5109280/?ref_=ls_i_3,https://www.imdb.com/title/tt5109280/?ref_=ls_t_3,3. Raya and the Last Dragon,2021,1h 47m,PG,74,Metascore,7.3,(188K),Rate,Mark as watched,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",Directors,https://www.imdb.com/name/nm2128363/?ref_=ls_li_1_1,Paul Briggs,Stars,https://www.imdb.com/name/nm2320658/?ref_=ls_li_1_2,Don Hall,https://www.imdb.com/name/nm2788015/?ref_=ls_li_1_3,Carlos López Estrada,https://www.imdb.com/name/nm4511652/?ref_=ls_li_2_1,Kelly Marie Tran,"What an amazing film. Not just an animation film, an action film, or even a fantasy film but an overall great movie. It has beat for beat other similarities from other properties and yes predictable in some parts, but holy crap this has been missing in a lot of recent films. A three act structure that moves quickly and entertaining enough for everyone to enjoy. Characters that matter and are not there just to serve as the butt of the joke, but an overall message I can see generations can get behind. It is a lot of fun to be had here and it is as important and beautiful as any animation film has come across in recent memory. Stories like this and especially films like this scream out that animation is not just for kids. Sure you do have you side kicks and your physical gags that can be amusing for younger audiences. But just like all great fantasy stories this hits on all cylinders. By giving you characters you actually want to succeed and support. Let me reiterate you want these characters to win. You want this story to continue. Most importantly you understand all the motivation so it comes off more organically with an ending that is really emotional that I didn’t see coming. Disney has been getting a lot shit lately, with the Mulan debacle, to it as a company, Star Wars, hell to even this being a $30 rental. But this didn’t feel like a studio mandate to hurry up and cash in on the Asian rise. It feels more respected in many ways certainly more than any other Disney film in the past. So I love it.
9/10",https://www.imdb.com/name/nm5377144/?ref_=ls_li_2_2,Awkwafina,https://www.imdb.com/name/nm2110418/?ref_=ls_li_2_3,Gemma Chan
,https://www.imdb.com/title/tt12676326/?ref_=ls_i_4,https://www.imdb.com/title/tt12676326/?ref_=ls_t_4,4. Malcolm & Marie,2021,1h 46m,R,53,Metascore,6.6,(44K),Rate,Mark as watched,A director and his girlfriend's relationship is tested after they return home from his movie premiere and face each other's turmoil during one long night.,Director,https://www.imdb.com/name/nm0506094/?ref_=ls_li_1_1,Sam Levinson,Stars,https://www.imdb.com/name/nm0913475/?ref_=ls_li_2_1,John David Washington,https://www.imdb.com/name/nm3918035/?ref_=ls_li_2_2,Zendaya,,,"It does look really good. And I like both actors including Sam Levison who is a pretty good director. And the black and white cinematography really does make me want to see this film more.- (Before I saw this movie.)

Z day has a third act monologue that is amazing. It floored me. I’ll be honest I like both these actors but I was hesitant to sit and watch only two of them for the whole movie. I have to say I’m glad I did. The only reason why that monologue works is because the first two acts are building blocks for that scene. Just the whole ending won me over. I love the last shot and the unfolding of the argument is handled so well that it captivated me to keep watching. I looked at my phone once while this was playing and put it back down immediately. I honestly didn’t think I would like this much but I did. As for awards chances in the 2021 Oscars, it did get shut out at the globes which the reason why this film was shown so early was for this film to get nominations. But sadly not Globes or SAG nominated this film. I can see the Oscars maybe, maybe nominate Zendaya but it’s looking less likely. But I’m going to count this as a 2021 film I mean I guess I have no other choice. So both Zendaya and John David Washington will be among the top best performances of 2021. Along with Sam Levinson for directing and writing to me.
9/10",,,,
,https://www.imdb.com/title/tt9845564/?ref_=ls_i_5,https://www.imdb.com/title/tt9845564/?ref_=ls_t_5,5. Below Zero,2021,1h 46m,TV-MA,,,6.2,(23K),Rate,Mark as watched,"On a lonely road, a prison transport is brutally assaulted. Martin, the policeman who was driving, survives and fortifies his position while the con men search for a way to finish him.",Director,https://www.imdb.com/name/nm1589515/?ref_=ls_li_1_1,Lluís Quílez,Stars,https://www.imdb.com/name/nm0349522/?ref_=ls_li_2_1,Javier Gutiérrez,https://www.imdb.com/name/nm0253216/?ref_=ls_li_2_2,Karra Elejalde,https://www.imdb.com/name/nm0130429/?ref_=ls_li_2_3,Luis Callejo,"We are all aware of subverting expectations. I mean it’s the one thing people want without actually wanting it. Because whenever a really good movie does i.e. The Last Zedi people complain the crap out of it. Anyhoe enough about that movie this movie is awesome. Kinda like last year’s also Spanish Netflix film The Platform, this is a smart, interesting, and truly captivating of a fun crime thriller. I like cold crime thrillers and this is one of the good ones because holy crap I felt the cold. Wind River, Fargo, and so on, this film is apart of that great list of movies. Half way through I thought it was just a fun little thriller. But then the last 20 minutes happened and I’m telling you it made a B level movie into an A territory. I think all the performances from the prisoners to the cops are all great and add more entertaining trying to figure their backstory which this movie gives you enough to keep your attention. You have your favorites and you can tell which ones are going to live and die but I’m telling you the journey to that place is worth it. You get a lot of the characters motivation which I have to say is missing in a lot modern films where characters do dumb stuff for no reason. Some characters are dumb but at the moment it adds more tension because this are not big name actors so you don’t know if all these people will live or die. This is a great ride that will keep you guessing throughout this film. Thrillers are easy to come by because they are so many of them. But good ones like this that have great characters, an interesting story, and thrills for any audience member who enjoys films that give you the thrill but also ones that hit you in the gut.
9/10",,,,
,https://www.imdb.com/title/tt9784798/?ref_=ls_i_6,https://www.imdb.com/title/tt9784798/?ref_=ls_t_6,6. Judas and the Black Messiah,2021,2h 6m,R,84,Metascore,7.4,(114K),Rate,Mark as watched,"Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.",Director,https://www.imdb.com/name/nm3489851/?ref_=ls_li_1_1,Shaka King,Stars,https://www.imdb.com/name/nm3147751/?ref_=ls_li_2_1,LaKeith Stanfield,https://www.imdb.com/name/nm2257207/?ref_=ls_li_2_2,Daniel Kaluuya,https://www.imdb.com/name/nm0687146/?ref_=ls_li_2_3,Jesse Plemons,"This film does so much right. The performances are all fantastic, director Shaka King masters whatever obstacle is thrown at him, and last this ending hits you like a ton of bricks harder than any ending probably will this year. But the second half of this movie feels rushed to get to that emotional ending that does take its time. Fred Hampton was 21 when he died and I’m sorry but Daniel Kaluuya looks old in his last moments. It was a little distracting. But I was buying his age up until that point. The movie does so much right but gets a little wrong here and there. This movie still rocks and moves at a brisk pace it is just there something missing. Maybe more time but even might have felt tagged on or forced. Still one of the best movies this year.
8/10",,,,
,https://www.imdb.com/title/tt12838766/?ref_=ls_i_7,https://www.imdb.com/title/tt12838766/?ref_=ls_t_7,7. Space Sweepers,2021,2h 16m,TV-MA,64,Metascore,6.5,(31K),Rate,Mark as watched,"Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal.",Director,https://www.imdb.com/name/nm3644812/?ref_=ls_li_1_1,Jo Sung-hee,Stars,https://www.imdb.com/name/nm3609366/?ref_=ls_li_2_1,Song Joong-ki,https://www.imdb.com/name/nm3892241/?ref_=ls_li_2_2,Kim Tae-ri,https://www.imdb.com/name/nm5887272/?ref_=ls_li_2_3,Jin Seon-kyu,"This is movie is awesome. The first hour may not be as exciting as it should be because I myself wasn’t fully engaged into the story yet. But after that first hour this thing gets into hyper speed and blasts off like a rocket. The action is shot really well, the space battles are some of the best I have ever seen, it is a smart science fiction film that doesn’t try to over explain everything, and the story itself really pulls no punches. This movie is dark in some places and people die. I mean the story is about this organization trying to kill this little girl. It is exactly the type of film I love to watch and have a good time with. O yeah so glad to see so much talent on screen do an incredible job with some killer performances. Just cool characters. Some straight out of a Guy Ritchie movie which is more than I can ask for.
8/10",,,,
,https://www.imdb.com/title/tt6857376/?ref_=ls_i_8,https://www.imdb.com/title/tt6857376/?ref_=ls_t_8,8. Palmer,2021,1h 50m,R,53,Metascore,7.3,(51K),Rate,Mark as watched,An ex-convict strikes up a friendship with a boy from a troubled home.,Director,https://www.imdb.com/name/nm0001770/?ref_=ls_li_1_1,Fisher Stevens,Stars,https://www.imdb.com/name/nm0005493/?ref_=ls_li_2_1,Justin Timberlake,https://www.imdb.com/name/nm1017334/?ref_=ls_li_2_2,Juno Temple,https://www.imdb.com/name/nm5131141/?ref_=ls_li_2_3,Alisha Wainwright,"I am a huge JT fan so if he is doing a drama film where he is actually trying to act I’ll be there. (Preview)

It hasn’t been getting a lot of good reviews. But for me I was moved by this emotional story dealing with second chances to not let anyone decide what your actions dictate who you are. JT is really good here. But also surprisingly tho the script is also very emotional that it did get a tear out of my eye. It is not over the top with it’s what seems to be a cliche story but it still has enough here to make anyone enjoy this movie. This is what Hillbilly Elegy wishes it had done. No narration which is a good choice because it would have been too corny and no big speech about how important it is to be a good person. Which it is true. However, this movie is not about beating your head in with a message it is a very entertaining drama that yes you may have seen before but with some excellent performances, some good writing, and okay direction it did put a smile on my face at the end. Along with any film to make me cry it gets my recommendation to watch. (Actual review)
8/10",,,,
,https://www.imdb.com/title/tt7888964/?ref_=ls_i_9,https://www.imdb.com/title/tt7888964/?ref_=ls_t_9,9. Nobody,2021,1h 32m,R,64,Metascore,7.4,(393K),Rate,Mark as watched,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",Director,https://www.imdb.com/name/nm5820154/?ref_=ls_li_1_1,Ilya Naishuller,Stars,https://www.imdb.com/name/nm0644022/?ref_=ls_li_2_1,Bob Odenkirk,https://www.imdb.com/name/nm0148516/?ref_=ls_li_2_2,Aleksey Serebryakov,https://www.imdb.com/name/nm0001567/?ref_=ls_li_2_3,Connie Nielsen,"Believe or not this is my most anticipated film of 2021. Kind of. Like most people Bob Odenkirk is just flat out an amazing actor. Anyone who even watches at least one episode of Better Call Saul can tell you that. But I’m so excited to see him as a lead in an action film. I also have faith in director Ilya Naishuller from Hardcore Henry to give us something special and I’m looking forward for this movie.- Before seeing it.

First movie back in theater and it couldn’t have been a better choice. It may not be the home run I was expecting but it still delivers on laughs and some awesome action scenes. Just a couple of things tho I wish it was a little more gory basing Hardcore Henry was extremely gory. Also director Ilya Naishuller who has directed music videos before for his band really shows here. I don’t mind if a movie gets repetitive with action scenes and feels like a video game but even here I have to say it did feel like a video game mixed with a music video.

Aside from that this is an incredibly entertaining ride that I was having so much fun with. Saul Goodman is proving that Bob Odenkirk should be cast in more movies because he is flat out an outstanding choice for the lead here. He really does put in the time to seem like a regular guy so when his first fight scene happened and it doesn’t have any music or quick cuts I knew it was going to be good. That’s the best fight in the whole movie.

So if they do plan on doing more of these than I have to say I would be open to see where this story would continue.

8/10",,,,
,https://www.imdb.com/title/tt9130508/?ref_=ls_i_10,https://www.imdb.com/title/tt9130508/?ref_=ls_t_10,10. Cherry,2021,2h 22m,R,44,Metascore,6.6,(42K),Rate,Mark as watched,"Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world.",Directors,https://www.imdb.com/name/nm0751577/?ref_=ls_li_1_1,Anthony Russo,Stars,https://www.imdb.com/name/nm0751648/?ref_=ls_li_1_2,Joe Russo,https://www.imdb.com/name/nm4043618/?ref_=ls_li_2_1,Tom Holland,https://www.imdb.com/name/nm2731980/?ref_=ls_li_2_2,Ciara Bravo,"So this will get a 2021 release but it is a play for the 2021 Oscars that has 2020 films so does this mean this is a 2020 film which again why did the Academy push back like that. We had a hole throughout November and December so why couldn’t these film come out during those time. Same thing with Malcom and Marie and Judas and the Black Messiah. But I think you can count these as 2021 movies but it is just very weird.- Before I saw the movie.

Before I get into each part or chapters of the film. Let me just say, I have seen bad movies. I have seen badly written movies, badly acted movies, and boring movies. This is no where near any of those things. Sure yes it is crowded and some chapters are not as good as the other. But I am no where near a person who gives a movie a pass because of who is in it, but even with its problems I still can enjoy and take away a lot of what this movie has to offer. Let’s break this shit down.

Prologue: The shortest because all it is, is a scene later on in the movie to try to say how did we get here.

Chapter 1: Student. It is a development story between him and his future wife, Emily, played here by Ciara Bravo. It kicks the story off so I understand for it being so visual because it has to grab your attention and bring you into what is going to happen throughout the rest of the movie. The chemistry between the two are really believable for how young they are you buy into just how love is between them and why Tom’s character is so heartbroken over their break up.

Chapter 2: Solider. It’s the first half of Full Metal Jacket. The frame ratio is shrunk to make you feel claustrophobic almost like there is nowhere to run. You are stuck here with these men, well the point the movie is trying to make is how young these men are who put into this position and none of them are prepared to what is to come. Which makes the next chapter so predictable.

Chapter 3: Cherry. These two chapters are probably the least interesting because it is a retread of Full Metal Jacket just told in a different type of lens. It is more flashy but where you end of is the same story that ultimately goes exactly where you think it is going. I don’t want to spoil it but these two chapters don’t do anything you haven’t seen before it is just a showcase of how visually stunning this movie can get.

Chapter 4: Home. Now to me, chapter 4 & 5 is where this movie picks up and gets my blood pumping. Because it made me care. We see both Tom and Emily put through the ringer of drug abuse and it does not shy away from it. Yes it still is very flashy and style over substance but I think it at least to me it’s gets more interesting to watch. It may be a chore for some people to sit through but I was impressed of the ups and down these two went through. It made at least to me why the parts of our lead character life matter.

Chapter 5: Thief. My favorite part of the movie. Bank heists are some of my favorite type of movies. And as long as you can make someone sympathetic and make you route for the robber to me you have done your job. I just saw another bank robbery movie where the movie makes you sympathetic of what happened to the robbers and you just go I don’t care for even the slightest. The opposite is here. It is also really funny and sweet in a very messed up kind of way that I just love watching.

Epilogue: It is just a very emotional music video where it is a time lapse to catch up and end the movie on a high note. It almost succeeds but the movie took me on such a roller coaster ride that I ultimately fell for this movie.

Again it is not perfect but it is ambitious and some subject matters it does not shy away from the true horror of what so many other will shy away from.

8/10",https://www.imdb.com/name/nm2930503/?ref_=ls_li_2_3,Jack Reynor,,
