ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5)
"https://m.media-amazon.com/images/M/MV5BN2Q0YWE1MjktODJlMi00NTRiLWI2ZTctZTAxNjkyODVjM2EyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt9764362/?ref_=ls_i_1,https://www.imdb.com/title/tt9764362/?ref_=ls_t_1,1. The Menu,2022,1h 47m,R,71,Metascore,7.2,(498K),"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Director,https://www.imdb.com/name/nm0617042/?ref_=ls_li_1_1,Mark Mylod,https://www.imdb.com/name/nm0000146/?ref_=ls_li_2_1,Ralph Fiennes,https://www.imdb.com/name/nm5896355/?ref_=ls_li_2_2,Anya Taylor-Joy,https://www.imdb.com/name/nm0396558/?ref_=ls_li_2_3,Nicholas Hoult,"One of the best movies I have ever seen, a must see that blew me away with its complexity, sharp detail and top gear script.",,
"https://m.media-amazon.com/images/M/MV5BNjFhMzBlNzktMjE2Ni00YTMyLWI2YWUtYmM1N2QxMDQwZmZhXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt15474916/?ref_=ls_i_2,https://www.imdb.com/title/tt15474916/?ref_=ls_t_2,2. Smile,2022,1h 55m,R,68,Metascore,6.5,(239K),"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",Director,https://www.imdb.com/name/nm6475689/?ref_=ls_li_1_1,Parker Finn,https://www.imdb.com/name/nm1788739/?ref_=ls_li_2_1,Sosie Bacon,https://www.imdb.com/name/nm1900772/?ref_=ls_li_2_2,Jessie T. Usher,https://www.imdb.com/name/nm0973177/?ref_=ls_li_2_3,Kyle Gallner,One of the greatest horror movies ever made. Exceptionally intense and doesn't hold back for a moment as it plunges you into the depths of the mind with a smile.,,
"https://m.media-amazon.com/images/M/MV5BNGY3M2NkN2QtZTdhOS00YTNjLTgyYmMtMGY3Y2U0OTk2NjA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt10640346/?ref_=ls_i_3,https://www.imdb.com/title/tt10640346/?ref_=ls_t_3,3. Babylon,2022,3h 9m,R,61,Metascore,7.1,(206K),"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Director,https://www.imdb.com/name/nm3227090/?ref_=ls_li_1_1,Damien Chazelle,https://www.imdb.com/name/nm0000093/?ref_=ls_li_2_1,Brad Pitt,https://www.imdb.com/name/nm3053338/?ref_=ls_li_2_2,Margot Robbie,https://www.imdb.com/name/nm0005443/?ref_=ls_li_2_3,Jean Smart,"An epic film that winds up much deeper than expected, felt like I was watching the end of Hollywood.",,
"https://m.media-amazon.com/images/M/MV5BOWJiYWMyYTktZThhOS00ZjgxLWE0YTQtZDMyNTQxMjMyYjI2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt1016150/?ref_=ls_i_4,https://www.imdb.com/title/tt1016150/?ref_=ls_t_4,4. All Quiet on the Western Front,2022,2h 28m,R,76,Metascore,7.8,(316K),A young German soldier's eagerness to serve his country quickly fades when he witnesses the horrors of combat on the Western Front during World War I.,Director,https://www.imdb.com/name/nm0074163/?ref_=ls_li_1_1,Edward Berger,https://www.imdb.com/name/nm0436835/?ref_=ls_li_2_1,Felix Kammerer,https://www.imdb.com/name/nm3477129/?ref_=ls_li_2_2,Albrecht Schuch,https://www.imdb.com/name/nm6037256/?ref_=ls_li_2_3,Aaron Hilmer,"A film that showcases the brutality and horror of war. Possibly the most intense and dark movie about war I have ever seen, a picture without glory.",,
"https://m.media-amazon.com/images/M/MV5BYzgwM2JiY2MtNWQ5OC00NDc1LWExMjYtYmY2YjViZmViYWM5XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt11138512/?ref_=ls_i_5,https://www.imdb.com/title/tt11138512/?ref_=ls_t_5,5. The Northman,2022,2h 17m,R,82,Metascore,7.0,(299K),A young Viking prince is on a quest to avenge his father's murder.,Director,https://www.imdb.com/name/nm3211470/?ref_=ls_li_1_1,Robert Eggers,https://www.imdb.com/name/nm0002907/?ref_=ls_li_2_1,Alexander Skarsgård,https://www.imdb.com/name/nm0000173/?ref_=ls_li_2_2,Nicole Kidman,https://www.imdb.com/name/nm0051903/?ref_=ls_li_2_3,Claes Bang,One of the best revenge films I've seen in a long time. Exceptional execution on all fronts for one of the best films of 2022.,,
"https://m.media-amazon.com/images/M/MV5BZjM3MWE4ZDktNDMzNi00OGM0LWI0NzYtYWQ3OGFjNDNjOWMwXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt11127680/?ref_=ls_i_6,https://www.imdb.com/title/tt11127680/?ref_=ls_t_6,6. Boiling Point,2021,1h 32m,R,73,Metascore,7.5,(56K),A chef must deal with pressures in and out of the kitchen of a high end restaurant in the Christmas rush.,Director,https://www.imdb.com/name/nm0053028/?ref_=ls_li_1_1,Philip Barantini,https://www.imdb.com/name/nm0334318/?ref_=ls_li_2_1,Stephen Graham,https://www.imdb.com/name/nm0733172/?ref_=ls_li_2_2,Vinette Robinson,https://www.imdb.com/name/nm8420166/?ref_=ls_li_2_3,Alice Feetham,"As a human who works in restaurants myself, this is probably the best (and most realistic) film about the food industry ever made.",,
,https://www.imdb.com/title/tt14176542/?ref_=ls_i_7,https://www.imdb.com/title/tt14176542/?ref_=ls_t_7,7. Bardo: False Chronicle of a Handful of Truths,2022,2h 39m,R,55,Metascore,6.7,(16K),"An acclaimed documentarian goes on an introspective journey through surreal dreamscapes to reconcile with the past, the present and his Mexican identity.",Director,https://www.imdb.com/name/nm0327944/?ref_=ls_li_1_1,Alejandro G. Iñárritu,https://www.imdb.com/name/nm0319843/?ref_=ls_li_2_1,Daniel Giménez Cacho,https://www.imdb.com/name/nm2155527/?ref_=ls_li_2_2,Griselda Siciliani,https://www.imdb.com/name/nm9428690/?ref_=ls_li_2_3,Ximena Lamadrid,"A wonderful film, kinda reminded me of Vanilla Sky but with more of a center on family, history and making movies. Deep narrative with some beautiful cinematography.",,
,https://www.imdb.com/title/tt11813216/?ref_=ls_i_8,https://www.imdb.com/title/tt11813216/?ref_=ls_t_8,8. The Banshees of Inisherin,2022,1h 54m,R,87,Metascore,7.6,(295K),"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",Director,https://www.imdb.com/name/nm1732981/?ref_=ls_li_1_1,Martin McDonagh,https://www.imdb.com/name/nm0268199/?ref_=ls_li_2_1,Colin Farrell,https://www.imdb.com/name/nm0322407/?ref_=ls_li_2_2,Brendan Gleeson,https://www.imdb.com/name/nm0174403/?ref_=ls_li_2_3,Kerry Condon,Great dark comedy movie about friendship and division through the boredom of day to day existence on an island. Deeper than you'd expect.,,
,https://www.imdb.com/title/tt8110652/?ref_=ls_i_9,https://www.imdb.com/title/tt8110652/?ref_=ls_t_9,9. Bodies Bodies Bodies,2022,1h 34m,R,69,Metascore,6.1,(90K),"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly.",Director,https://www.imdb.com/name/nm0717603/?ref_=ls_li_1_1,Halina Reijn,https://www.imdb.com/name/nm3964350/?ref_=ls_li_2_1,Amandla Stenberg,https://www.imdb.com/name/nm7210025/?ref_=ls_li_2_2,Maria Bakalova,https://www.imdb.com/name/nm9684601/?ref_=ls_li_2_3,Myha'la,A hilarious look at the self destruction of woke culture.,,
,https://www.imdb.com/title/tt14145426/?ref_=ls_i_10,https://www.imdb.com/title/tt14145426/?ref_=ls_t_10,10. Beavis and Butt-Head Do the Universe,2022,1h 27m,13+,70,Metascore,7.0,(15K),"After a ""creative"" judge sentences them to space camp, a black hole sends our adolescent heroes 24 years into the modern future where the duo misuse iPhones, embark on a quest to score, and become targets of the Deep State.",Directors,https://www.imdb.com/name/nm1401737/?ref_=ls_li_1_1,Albert Calleros,https://www.imdb.com/name/nm1070945/?ref_=ls_li_1_2,Geoffrey Johnson,https://www.imdb.com/name/nm0723470/?ref_=ls_li_1_3,John Rice,https://www.imdb.com/name/nm0431918/?ref_=ls_li_2_1,Mike Judge,One of the funniest movies ever made. The most I have actually laughed out loud this year and I watched this movie alone.,https://www.imdb.com/name/nm0170550/?ref_=ls_li_2_2,Gary Cole
