ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,metacritic-score-label,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,sc-35f5f4fb-3 (2),ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-html-content-inner-div (2),ipc-link href (5),ipc-link (5),ipc-link href (6),ipc-link (6)
https://www.imdb.com/title/tt23289160/?ref_=ls_i_1,https://www.imdb.com/title/tt23289160/?ref_=ls_t_1,1. Godzilla Minus One,2023,2h 4m,PG-13,81,Metascore,7.6,(203K),A kamikaze pilot plagued by survivor's guilt seeks redemption when a giant monster he failed to kill is transformed by radiation from atomic bomb tests and lays siege to post-war Japan.,Director,https://www.imdb.com/name/nm0945724/?ref_=ls_li_1_1,Takashi Yamazaki,Stars,https://www.imdb.com/name/nm1126340/?ref_=ls_li_2_1,Ryûnosuke Kamiki,https://www.imdb.com/name/nm4947538/?ref_=ls_li_2_2,Minami Hamabe,https://www.imdb.com/name/nm4290253/?ref_=ls_li_2_3,Yuki Yamada,"Yeah this is simply the best film of the year. Full of emotion, action, and full on suspense that I have yet to witness all year. I love monster movies so when people are claiming that this might be the best Godzilla film ever made I knew I had to weigh in my perspective on the matter. Which this does succeed in more ways than one. It would be a fool’s decision to not seek this out and experience for yourself that this does wonders for the entertainment factor. It is what you pay when you go to the movies and this movie does more than fit the bill. It surpasses entertainment it is the penuchle of what all monsters movies should be. Equals part Jaws, old school Godzilla films, and a nice new wave of excitement that only movies made today could pull off. This is blockbuster filmmaking at its finest.

10/10",,,,
https://www.imdb.com/title/tt22868844/?ref_=ls_i_2,https://www.imdb.com/title/tt22868844/?ref_=ls_t_2,2. Black Clover: Sword of the Wizard King,2023,1h 50m,TV-14,,,7.4,(9.8K),"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King"" to overcome adversity, prove his power and keep his oath with his friends.",Director,https://www.imdb.com/name/nm9734896/?ref_=ls_li_1_1,Ayataka Tanemura,Stars,https://www.imdb.com/name/nm9309053/?ref_=ls_li_2_1,Gakuto Kajiwara,https://www.imdb.com/name/nm4858403/?ref_=ls_li_2_2,Nobunaga Shimazaki,https://www.imdb.com/name/nm5684848/?ref_=ls_li_2_3,Kana Yûki,"Might be my favorite movie to come out this year. I don’t care what anyone says this is one of my favorite anime I have ever watch. Black Clover is a great story about overcoming the impossible in the most in your face way. In order to beat it in you that giving up is never the option. I get that this is a filler and it is not a continuation of the series but it still has characters that I love and seeing these characters doing awesome fight scenes and interact will always bring a smile to my face. Asta is also a great protagonist. I respect him and like him out of any of the big three. How weird it is that to me this is one of the best and for me my flat out favorite film this year. Does my love for the anime influence my love for this film hell yeah. But even so this is still a bad ass action fantasy filled with laughs and heart. These characters haven’t missed a step.

9/10",,,,
https://www.imdb.com/title/tt22207786/?ref_=ls_i_3,https://www.imdb.com/title/tt22207786/?ref_=ls_t_3,3. Red Rooms,2023,1h 58m,Not Rated,80,Metascore,7.1,(21K),A model becomes obsessed with a high-profile murder trial.,Director,https://www.imdb.com/name/nm4317824/?ref_=ls_li_1_1,Pascal Plante,Stars,https://www.imdb.com/name/nm6406290/?ref_=ls_li_2_1,Juliette Gariépy,https://www.imdb.com/name/nm5278361/?ref_=ls_li_2_2,Laurie Babin,https://www.imdb.com/name/nm1866393/?ref_=ls_li_2_3,Sasha Samar,"This is straight fire. Holy shit I don’t know when this actually comes out but I’m so damn glad and excited that this did it’s job and completely blew away all expectations. I usually go blind into movies now without seeing a trailer but every once in a while mostly at the end of the year I see one that jumps immediately up to my number one spot. Based on pure knowledge and surprise a movie can do. This may not be my number one film of the year but it does reach levels that no other film this year did. The Guilty from 2018, The Novice from 2021, Soft and Quiet from last year, and even this movie fits in those traditions that I love to have at the end of the year to end on a high note but the fact that as I’m writing this the year is not even over makes me even more excited to see that one movie. But this one will hard to beat.",,,,
https://www.imdb.com/title/tt14230458/?ref_=ls_i_4,https://www.imdb.com/title/tt14230458/?ref_=ls_t_4,4. Poor Things,2023,2h 21m,R,88,Metascore,7.7,(392K),"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",Director,https://www.imdb.com/name/nm0487166/?ref_=ls_li_1_1,Yorgos Lanthimos,Stars,https://www.imdb.com/name/nm1297015/?ref_=ls_li_2_1,Emma Stone,https://www.imdb.com/name/nm0749263/?ref_=ls_li_2_2,Mark Ruffalo,https://www.imdb.com/name/nm0000353/?ref_=ls_li_2_3,Willem Dafoe,,,,,
https://www.imdb.com/title/tt1136617/?ref_=ls_i_5,https://www.imdb.com/title/tt1136617/?ref_=ls_t_5,5. The Killer,2023,1h 58m,R,73,Metascore,6.7,(223K),"Solitary, cold, methodical and unencumbered by scruples or regrets, a killer waits in the shadows, watching for his next target. Yet, the longer he waits, the more he thinks he's losing his mind, if not his cool.",Director,https://www.imdb.com/name/nm0000399/?ref_=ls_li_1_1,David Fincher,Stars,https://www.imdb.com/name/nm1055413/?ref_=ls_li_2_1,Michael Fassbender,https://www.imdb.com/name/nm0842770/?ref_=ls_li_2_2,Tilda Swinton,https://www.imdb.com/name/nm0663174/?ref_=ls_li_2_3,Charles Parnell,"Fincher is my boy. Honestly I’m just glad he is not making another biopic this time. I mean Mann, Nolan, and even Scorsese have made boring ass biopics this year. So at least Fincher has made a film that I can enjoy. And that is this one. A one hell of a wild ride that I couldn’t get enough of. Possibly my most watched movie this year solely because I was absorbed into the world that Fincher and more importantly the world through the view of Fassbender’s The Killer. I bought into his mind set and I bought into all of his doings. This is a lean mean fighting machine type of movie. It was everything I could love for a movie. A globe trotting adventure without all the glitz and glamour that comes with the genre. This stands out from the rest. And this is how you do a plot like this. Unlike The Creator and Saltburn two films I do like but I have seen those before and they play exactly as told. But this does take some turns I wasn’t expecting so this has a leg up from those films. Just like Beau is Afraid another film that we have seen before but both change things up a bit and add their own flavor to it.",,,,
https://www.imdb.com/title/tt13521006/?ref_=ls_i_6,https://www.imdb.com/title/tt13521006/?ref_=ls_t_6,6. Beau Is Afraid,2023,2h 59m,R,63,Metascore,6.6,(78K),"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic odyssey back home.",Director,https://www.imdb.com/name/nm4170048/?ref_=ls_li_1_1,Ari Aster,Stars,https://www.imdb.com/name/nm0001618/?ref_=ls_li_2_1,Joaquin Phoenix,https://www.imdb.com/name/nm0526985/?ref_=ls_li_2_2,Patti LuPone,https://www.imdb.com/name/nm0752407/?ref_=ls_li_2_3,Amy Ryan,"Okay I am in love with this movie. I have to dig deep and just say out loud that this is one hell of a great time. I know that sounds crazy but damn, I didn’t over think too much and I won’t go into how crazy and the metaphors that are in the movie. You know what this should belong with great comedy’s like Superbad, After Hours, Road Trip, and plenty of other character has to get to point A to point B. Plot wise that is the brilliant side of this movie. It being a full on insane ride that will make you laugh your ass off while also being tense throughout the whole movie. There is a bit involving a bath tub and that whole scene is a work of brilliance. I really love this movie. Yeah the last 15 minutes wasn’t needed. But man was so much working for me and if you look at it with the lenses of just a full on comedy that deals with a simple film plot. Joker is just trying to get to his mom’s pad. That is it. Don’t over think it. This is Saltburn or even Babylon. Both movies I do like a lot. But do love. This is one I full on love. Out of all the look at me. Look at me, I’m a director. I can do crazy stuff and film and make art out of it. Here is a movie that says forget all that. This is a look at me movie, but in a different way. Story wise how this goes into so many avenues it is feat that only is achieve by letting the scene play out of sheer spontaneity. Just like those other great comedies where weird shit comes out of nowhere. This is just adding different music and drawing out the scenes to make it more impactful as a joke. It is brilliant. To me at least.",,,,
https://www.imdb.com/title/tt10638522/?ref_=ls_i_7,https://www.imdb.com/title/tt10638522/?ref_=ls_t_7,7. Talk to Me,2022,1h 35m,R,76,Metascore,7.1,(214K),"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",Directors,https://www.imdb.com/name/nm4053334/?ref_=ls_li_1_1,Danny Philippou,Stars,https://www.imdb.com/name/nm4073140/?ref_=ls_li_1_2,Michael Philippou,https://www.imdb.com/name/nm8490058/?ref_=ls_li_2_1,Ari McCarthy,https://www.imdb.com/name/nm6006955/?ref_=ls_li_2_2,Hamish Phillips,"As much as I love Nolan and everything this is truly my favorite movie experience all year. Went in blind didn’t even read the tagline just went in knowing that it was a horror movie and it comes from Australia. So an automatic requirement to see this ASAP. Because my number one should be a movie that will surprise the hell out of me. Like when I saw The Novice back in 2021 I knew that was my favorite movie of that year. Just how I feel about this one. It is not perfect but it is brutal, intense, and to me scary as hell. Which is exactly what I have been waiting for. I love almost every single second of this movie and it did not disappoint on any aspects when it comes to the script, direction, and of course acting.",https://www.imdb.com/name/nm13567262/?ref_=ls_li_2_3,Kit Erhart-Bruce,,
https://www.imdb.com/title/tt6587046/?ref_=ls_i_8,https://www.imdb.com/title/tt6587046/?ref_=ls_t_8,8. The Boy and the Heron,2023,2h 4m,PG-13,91,Metascore,7.3,(126K),"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",Director,https://www.imdb.com/name/nm0594503/?ref_=ls_li_1_1,Hayao Miyazaki,Stars,https://www.imdb.com/name/nm13177683/?ref_=ls_li_2_1,Soma Santoki,https://www.imdb.com/name/nm4027243/?ref_=ls_li_2_2,Masaki Suda,https://www.imdb.com/name/nm0793069/?ref_=ls_li_2_3,Kô Shibasaki,Fire,,,,
https://www.imdb.com/title/tt16300962/?ref_=ls_i_9,https://www.imdb.com/title/tt16300962/?ref_=ls_t_9,9. When Evil Lurks,2023,1h 39m,Not Rated,75,Metascore,6.9,(61K),"In a remote village, two brothers find a demon-infected man just about to ""give birth"" to evil itself. They decide to get rid of the body, only to end up unintentionally spreading chaos.",Director,https://www.imdb.com/name/nm1899608/?ref_=ls_li_1_1,Demián Rugna,Stars,https://www.imdb.com/name/nm0735822/?ref_=ls_li_2_1,Ezequiel Rodríguez,https://www.imdb.com/name/nm1891962/?ref_=ls_li_2_2,Demián Salomón,https://www.imdb.com/name/nm9553557/?ref_=ls_li_2_3,Silvina Sabater,The film that stuck with me the most this year. Holy crap this and Talk to Me are amongst not only the best horror films of the year but amongst the newer horror films to come out in recent memory. Definitely in the past 5 years. It is awesome brutal and downright nasty of a film. I love it.,,,,
https://www.imdb.com/title/tt9362722/?ref_=ls_i_10,https://www.imdb.com/title/tt9362722/?ref_=ls_t_10,10. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,86,Metascore,8.5,(522K),"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads.",Directors,https://www.imdb.com/name/nm1690966/?ref_=ls_li_1_1,Joaquim Dos Santos,Stars,https://www.imdb.com/name/nm5358492/?ref_=ls_li_1_2,Kemp Powers,https://www.imdb.com/name/nm1042511/?ref_=ls_li_1_3,Justin K. Thompson,https://www.imdb.com/name/nm4271336/?ref_=ls_li_2_1,Shameik Moore,"It shouldn’t be much a surprise that this is the best film of the year for me. Based solely on pure effort and I believe that can catapult your enjoyment on the film because when it is pulled off this well it should be considered when criticizing any type of entertainment. Because that is what the essence of that word means. So yeah why wouldn’t that be a factor when talking about the overall meaning of the film. I know some will say every film has people working hard that doesn’t give a film a pass on mediocrity. But this isn’t that. You can feel each sketch of animation every frame and every line of the story of this film adds more and more from the first film to make it better. The first film is to me better because it felt more complete. I know that might be a hot topic conversation starter but this is half a movie when it comes to the story. Just Dune was and Two Towers was way back in the day. This is still a rock n sock ‘‘em action film that delivers on thrills and chills. Can’t wait for the next one.

9/10",https://www.imdb.com/name/nm2794962/?ref_=ls_li_2_2,Hailee Steinfeld,https://www.imdb.com/name/nm3109964/?ref_=ls_li_2_3,Brian Tyree Henry
