ipc-image src,ipc-lockup-overlay href,ipc-title-link-wrapper href,ipc-title__text,ipc-inline-list__item,ipc-inline-list__item (2),ipc-inline-list__item (3),sc-9fe7b0ef-0,ipc-rating-star--rating,ipc-rating-star--voteCount,ipc-html-content-inner-div,sc-35f5f4fb-3,ipc-link href,ipc-link,ipc-link href (2),ipc-link (2),ipc-link href (3),ipc-link (3),ipc-link href (4),ipc-link (4),ipc-link href (5),ipc-link (5)
"https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",https://www.imdb.com/title/tt30144839/?ref_=ls_i_1,https://www.imdb.com/title/tt30144839/?ref_=ls_t_1,1. One Battle After Another,2025,2h 41m,R,95,7.7,(397K),"When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.",Director,https://www.imdb.com/name/nm0000759/?ref_=ls_li_1_1,Paul Thomas Anderson,https://www.imdb.com/name/nm0000138/?ref_=ls_li_2_1,Leonardo DiCaprio,https://www.imdb.com/name/nm0000576/?ref_=ls_li_2_2,Sean Penn,https://www.imdb.com/name/nm0001125/?ref_=ls_li_2_3,Benicio Del Toro,,
"https://m.media-amazon.com/images/M/MV5BZTRhYjI1MTItMWYwMi00MjY5LWI1OTktMzQwNzA3MWJlN2QyXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",https://www.imdb.com/title/tt32916440/?ref_=ls_i_2,https://www.imdb.com/title/tt32916440/?ref_=ls_t_2,2. Marty Supreme,2025,2h 29m,R,89,7.7,(163K),"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",Director,https://www.imdb.com/name/nm1343394/?ref_=ls_li_1_1,Josh Safdie,https://www.imdb.com/name/nm3154303/?ref_=ls_li_2_1,Timothée Chalamet,https://www.imdb.com/name/nm0000569/?ref_=ls_li_2_2,Gwyneth Paltrow,https://www.imdb.com/name/nm5570560/?ref_=ls_li_2_3,Odessa A'zion,,
"https://m.media-amazon.com/images/M/MV5BNmM0Yzc1ZjAtZTg4My00NDI3LWEwMzAtY2ZkNzMxMWMwOTFlXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt31176520/?ref_=ls_i_3,https://www.imdb.com/title/tt31176520/?ref_=ls_t_3,3. Eddington,2025,2h 28m,R,65,6.6,(58K),"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",Director,https://www.imdb.com/name/nm4170048/?ref_=ls_li_1_1,Ari Aster,https://www.imdb.com/name/nm0001618/?ref_=ls_li_2_1,Joaquin Phoenix,https://www.imdb.com/name/nm0640055/?ref_=ls_li_2_2,Deirdre O'Connell,https://www.imdb.com/name/nm1297015/?ref_=ls_li_2_3,Emma Stone,,
"https://m.media-amazon.com/images/M/MV5BYzYzNDYxMTQtMTU4OS00MTdlLThhMTQtZjI4NGJmMTZmNmRiXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt1312221/?ref_=ls_i_4,https://www.imdb.com/title/tt1312221/?ref_=ls_t_4,4. Frankenstein,2025,2h 29m,R,78,7.4,(308K),"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",Director,https://www.imdb.com/name/nm0868219/?ref_=ls_li_1_1,Guillermo del Toro,https://www.imdb.com/name/nm1209966/?ref_=ls_li_2_1,Oscar Isaac,https://www.imdb.com/name/nm8624059/?ref_=ls_li_2_2,Jacob Elordi,https://www.imdb.com/name/nm0910607/?ref_=ls_li_2_3,Christoph Waltz,,
"https://m.media-amazon.com/images/M/MV5BMjg3NzY0N2ItZGFlMy00NzAzLTk2NjItMDk2YTU3ZWU0MDA1XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt1527793/?ref_=ls_i_5,https://www.imdb.com/title/tt1527793/?ref_=ls_t_5,5. No Other Choice,2025,2h 19m,R,86,7.5,(59K),"After being fired, a man devises a unique plan to secure a new job: eliminate his competition.",Director,https://www.imdb.com/name/nm0661791/?ref_=ls_li_1_1,Park Chan-wook,https://www.imdb.com/name/nm0496932/?ref_=ls_li_2_1,Lee Byung-hun,https://www.imdb.com/name/nm1162030/?ref_=ls_li_2_2,Son Ye-jin,https://www.imdb.com/name/nm17849172/?ref_=ls_li_2_3,Woo Seung Kim,,
"https://m.media-amazon.com/images/M/MV5BMDQ5ZmY0OWYtOTYzZi00Mzg5LWE3N2EtMjYwZTAzZmJhYjkyXkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt14905854/?ref_=ls_i_6,https://www.imdb.com/title/tt14905854/?ref_=ls_t_6,6. Hamnet,2025,2h 5m,PG-13,84,7.8,(109K),"In late 16th-century England, Agnes, a healer sensitive to the world around her, builds a home with William, a local tutor and aspiring playwright. As their lives fracture, they are tested by distance, silence, and grief.",Director,https://www.imdb.com/name/nm2125482/?ref_=ls_li_1_1,Chloé Zhao,https://www.imdb.com/name/nm2976580/?ref_=ls_li_2_1,Jessie Buckley,https://www.imdb.com/name/nm8958770/?ref_=ls_li_2_2,Paul Mescal,https://www.imdb.com/name/nm16569885/?ref_=ls_li_2_3,Zac Wishart,,
"https://m.media-amazon.com/images/M/MV5BNzIzNWQxMjEtZmQ3MS00OTk2LWFlZjktZDUyYWRkM2M3NWVlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt12300742/?ref_=ls_i_7,https://www.imdb.com/title/tt12300742/?ref_=ls_t_7,7. Bugonia,2025,1h 58m,R,72,7.4,(181K),"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",Director,https://www.imdb.com/name/nm0487166/?ref_=ls_li_1_1,Yorgos Lanthimos,https://www.imdb.com/name/nm1297015/?ref_=ls_li_2_1,Emma Stone,https://www.imdb.com/name/nm0687146/?ref_=ls_li_2_2,Jesse Plemons,https://www.imdb.com/name/nm16696974/?ref_=ls_li_2_3,Aidan Delbis,,
"https://m.media-amazon.com/images/M/MV5BNjgwYTI0YjctMWYzNS00MmI1LWI5YTctNmE1YjBkNDFlNWMxXkEyXkFqcGc@._V1_QL75_UY133_CR8,0,90,133_.jpg",https://www.imdb.com/title/tt10548174/?ref_=ls_i_8,https://www.imdb.com/title/tt10548174/?ref_=ls_t_8,8. 28 Years Later,2025,1h 55m,R,77,6.6,(211K),"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors.",Director,https://www.imdb.com/name/nm0000965/?ref_=ls_li_1_1,Danny Boyle,https://www.imdb.com/name/nm3069650/?ref_=ls_li_2_1,Jodie Comer,https://www.imdb.com/name/nm1093951/?ref_=ls_li_2_2,Aaron Taylor-Johnson,https://www.imdb.com/name/nm0000146/?ref_=ls_li_2_3,Ralph Fiennes,,
,https://www.imdb.com/title/tt26581740/?ref_=ls_i_9,https://www.imdb.com/title/tt26581740/?ref_=ls_t_9,9. Weapons,2025,2h 8m,R,81,7.4,(349K),"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",Director,https://www.imdb.com/name/nm1199107/?ref_=ls_li_1_1,Zach Cregger,https://www.imdb.com/name/nm3400186/?ref_=ls_li_2_1,Julia Garner,https://www.imdb.com/name/nm0000982/?ref_=ls_li_2_2,Josh Brolin,https://www.imdb.com/name/nm2403277/?ref_=ls_li_2_3,Alden Ehrenreich,,
,https://www.imdb.com/title/tt30840798/?ref_=ls_i_10,https://www.imdb.com/title/tt30840798/?ref_=ls_t_10,10. The Phoenician Scheme,2025,1h 41m,PG-13,70,6.6,(68K),"Wealthy businessman Zsa-zsa Korda appoints his only daughter, a nun, as sole heir to his estate. As Korda embarks on a new enterprise, they soon become the target of scheming tycoons, foreign terrorists and determined assassins.",Director,https://www.imdb.com/name/nm0027572/?ref_=ls_li_1_1,Wes Anderson,https://www.imdb.com/name/nm0001125/?ref_=ls_li_2_1,Benicio Del Toro,https://www.imdb.com/name/nm7246543/?ref_=ls_li_2_2,Mia Threapleton,https://www.imdb.com/name/nm0148418/?ref_=ls_li_2_3,Michael Cera,,
